Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,hour,month,is_weekend,Load_Type_enc
3.31,4.46,0.0,0.0,65.73,100.0,6,1,0,0
3.31,3.53,0.0,0.0,68.4,100.0,7,1,0,0
3.31,3.49,0.0,0.0,68.48,100.0,7,1,0,0
3.31,4.75,0.0,0.0,62.97,100.0,7,1,0,0
3.31,3.6,0.0,0.0,66.44,100.0,7,1,0,0
3.31,3.78,0.0,0.0,65.88,100.0,8,1,0,0
3.31,4.75,0.0,0.0,62.27,100.0,8,1,0,0
3.49,3.74,0.0,0.0,65.94,100.0,8,1,0,0
3.6,4.46,0.18,0.0,61.63,99.87,8,1,0,0
3.6,0.0,5.65,0.0,100.0,52.55,11,1,0,0
3.49,0.0,6.7,0.0,100.0,51.26,11,1,0,0
3.67,0.0,12.89,0.0,100.0,26.9,12,1,0,0
3.67,0.0,16.67,0.0,100.0,21.5,12,1,0,0
3.67,0.0,16.63,0.0,100.0,21.55,13,1,0,0
3.67,0.0,23.33,0.0,100.0,17.92,13,1,0,0
3.67,0.0,16.74,0.0,100.0,21.25,13,1,0,0
3.67,0.0,16.99,0.0,100.0,21.11,13,1,0,0
3.67,0.0,23.4,0.0,100.0,17.99,14,1,0,0
3.78,0.0,16.67,0.0,100.0,21.33,14,1,0,0
3.78,0.0,18.25,0.0,100.0,20.28,14,1,0,0
3.78,0.0,22.1,0.0,100.0,18.24,14,1,0,0
3.92,0.0,16.7,0.0,100.0,21.3,15,1,0,0
3.92,0.0,19.33,0.0,100.0,19.87,15,1,0,0
3.92,0.0,21.35,0.0,100.0,18.86,15,1,0,0
3.96,0.0,16.81,0.0,100.0,20.94,15,1,0,0
3.96,0.0,20.45,0.0,100.0,19.01,16,1,0,0
3.96,0.0,20.77,0.0,100.0,18.91,16,1,0,0
3.96,0.0,16.81,0.0,100.0,20.94,16,1,0,0
3.82,0.0,21.64,0.0,100.0,18.48,16,1,0,0
3.82,0.0,19.19,0.0,100.0,19.52,17,1,0,0
3.82,0.0,16.96,0.0,100.0,20.54,17,1,0,0
3.6,0.0,23.51,0.0,100.0,17.18,17,1,0,0
3.6,0.0,17.39,0.0,100.0,20.27,17,1,0,0
3.6,0.0,17.35,0.0,100.0,20.32,18,1,0,0
3.6,0.0,8.96,0.0,100.0,40.77,18,1,0,0
3.67,0.0,5.47,0.0,100.0,53.01,18,1,0,0
3.67,0.0,16.24,0.0,100.0,22.04,18,1,0,0
3.67,0.0,22.57,0.0,100.0,17.75,19,1,0,0
3.85,0.0,17.39,0.0,100.0,19.89,19,1,0,0
3.85,0.0,20.74,0.0,100.0,18.25,19,1,0,0
3.85,0.0,20.88,0.0,100.0,18.63,19,1,0,0
3.85,0.0,17.35,0.0,100.0,20.1,20,1,0,0
3.74,0.0,22.54,0.0,100.0,17.6,20,1,0,0
3.74,0.0,19.55,0.0,100.0,18.79,20,1,0,0
3.74,0.0,17.42,0.0,100.0,20.02,20,1,0,0
3.56,0.0,24.26,0.0,100.0,17.1,21,1,0,0
3.56,0.0,17.75,0.0,100.0,19.66,21,1,0,0
3.56,0.0,17.42,0.0,100.0,19.86,21,1,0,0
3.56,0.0,25.2,0.0,100.0,16.63,21,1,0,0
3.53,0.0,17.5,0.0,100.0,19.77,22,1,0,0
3.53,4.21,0.0,0.0,65.71,100.0,22,1,0,0
3.53,3.35,0.0,0.0,69.52,100.0,22,1,0,0
3.53,3.74,0.0,0.0,68.64,100.0,23,1,0,0
3.53,3.42,0.0,0.0,71.82,100.0,23,1,0,0
3.53,2.95,0.0,0.0,73.94,100.0,23,1,0,0
3.53,3.96,0.0,0.0,67.97,100.0,23,1,0,0
3.67,4.21,0.0,0.0,73.84,100.0,0,1,0,0
3.67,3.1,0.0,0.0,71.82,100.0,0,1,0,0
3.35,4.61,0.0,0.0,64.1,100.0,0,1,0,0
3.35,3.67,0.0,0.0,66.64,100.0,0,1,0,0
3.35,3.6,0.0,0.0,68.12,100.0,1,1,0,0
3.35,4.72,0.0,0.0,63.6,100.0,1,1,0,0
3.46,3.53,0.0,0.0,68.07,100.0,1,1,0,0
3.46,3.96,0.0,0.0,65.8,100.0,1,1,0,0
3.46,4.82,0.0,0.0,61.71,100.0,2,1,0,0
3.6,3.53,0.0,0.0,68.4,100.0,2,1,0,0
3.6,4.36,0.0,0.0,63.67,100.0,2,1,0,0
3.6,4.39,0.0,0.0,63.83,100.0,2,1,0,0
3.6,3.71,0.0,0.0,66.24,100.0,3,1,0,0
3.56,4.57,0.0,0.0,63.03,100.0,3,1,0,0
3.56,4.03,0.0,0.0,66.21,100.0,3,1,0,0
3.56,3.49,0.0,0.0,68.04,100.0,3,1,0,0
3.28,4.64,0.0,0.0,64.25,100.0,4,1,0,0
3.28,3.42,0.0,0.0,69.22,100.0,4,1,0,0
3.28,3.49,0.0,0.0,68.48,100.0,4,1,0,0
3.28,4.68,0.0,0.0,64.59,100.0,4,1,0,0
3.46,3.42,0.0,0.0,68.77,100.0,5,1,0,0
3.46,3.78,0.0,0.0,67.52,100.0,5,1,0,0
3.46,4.07,0.0,0.0,66.97,100.0,5,1,0,0
3.53,3.42,0.0,0.0,68.77,100.0,5,1,0,0
3.53,3.96,0.0,0.0,67.97,100.0,6,1,0,0
3.53,3.78,0.0,0.0,68.25,100.0,6,1,0,0
3.53,3.24,0.0,0.0,70.27,100.0,6,1,0,0
3.53,4.07,0.0,0.0,68.05,100.0,6,1,0,0
3.53,3.35,0.0,0.0,70.71,100.0,7,1,0,0
3.78,3.49,0.0,0.0,71.11,100.0,7,1,0,0
6.05,4.57,0.0,0.0,80.95,100.0,7,1,0,0
6.3,4.79,0.0,0.0,78.4,100.0,7,1,0,0
6.73,4.54,0.0,0.0,82.9,100.0,8,1,0,0
29.02,18.83,0.07,0.0,83.89,100.0,8,1,0,0
40.25,8.82,0.5,0.0,97.68,99.99,18,1,0,1
37.4,1.98,1.58,0.0,99.84,99.9,19,1,0,1
39.42,6.44,0.43,0.0,98.81,99.99,19,1,0,1
38.16,2.52,1.37,0.0,99.76,99.93,19,1,0,1
38.16,5.29,0.47,0.0,99.11,99.99,19,1,0,1
35.96,4.68,0.5,0.0,99.26,99.99,20,1,0,1
33.23,1.51,3.96,0.0,99.9,99.3,20,1,0,2
4.68,5.22,0.0,0.0,66.44,100.0,22,1,0,1
4.68,5.18,0.0,0.0,67.04,100.0,22,1,0,1
4.64,5.11,0.0,0.0,67.54,100.0,23,1,0,1
4.57,4.54,0.0,0.0,70.94,100.0,23,1,0,0
4.57,4.25,0.0,0.0,73.23,100.0,23,1,0,0
4.57,4.25,0.0,0.0,73.0,100.0,23,1,0,0
4.57,4.5,0.0,0.0,71.25,100.0,0,1,0,0
4.57,4.61,0.0,0.0,70.71,100.0,0,1,0,0
4.57,4.54,0.0,0.0,71.25,100.0,0,1,0,0
4.61,4.5,0.0,0.0,71.25,100.0,0,1,0,0
4.61,4.61,0.0,0.0,70.4,100.0,1,1,0,0
4.61,4.46,0.0,0.0,72.1,100.0,1,1,0,0
4.61,4.57,0.0,0.0,71.25,100.0,1,1,0,0
4.61,4.79,0.0,0.0,69.34,100.0,1,1,0,0
4.61,4.5,0.0,0.0,71.25,100.0,2,1,0,0
4.61,4.39,0.0,0.0,72.42,100.0,2,1,0,0
4.61,4.75,0.0,0.0,69.88,100.0,2,1,0,0
4.64,4.75,0.0,0.0,69.88,100.0,2,1,0,0
4.64,4.75,0.0,0.0,69.33,100.0,3,1,0,0
4.64,5.11,0.0,0.0,67.22,100.0,3,1,0,0
4.64,4.72,0.0,0.0,70.1,100.0,3,1,0,0
4.64,4.68,0.0,0.0,70.71,100.0,3,1,0,0
4.61,4.46,0.0,0.0,71.57,100.0,4,1,0,0
4.57,4.32,0.0,0.0,72.44,100.0,4,1,0,0
4.57,4.46,0.0,0.0,71.87,100.0,4,1,0,0
4.57,4.32,0.0,0.0,72.67,100.0,4,1,0,0
4.57,4.32,0.0,0.0,72.97,100.0,5,1,0,0
4.57,4.14,0.0,0.0,73.89,100.0,5,1,0,0
4.57,4.21,0.0,0.0,73.55,100.0,5,1,0,0
4.57,4.43,0.0,0.0,71.8,100.0,5,1,0,0
4.57,4.5,0.0,0.0,71.25,100.0,6,1,0,0
4.57,4.61,0.0,0.0,70.94,100.0,6,1,0,0
4.57,4.36,0.0,0.0,72.35,100.0,6,1,0,0
4.57,4.54,0.0,0.0,71.25,100.0,6,1,0,0
4.57,4.28,0.0,0.0,72.76,100.0,7,1,0,0
4.61,4.18,0.0,0.0,72.96,100.0,7,1,0,0
6.12,4.25,0.0,0.0,82.14,100.0,7,1,0,0
7.92,4.68,0.0,0.0,86.09,100.0,7,1,0,0
9.58,4.36,0.0,0.0,91.02,100.0,8,1,0,0
37.01,21.56,0.0,0.02,86.41,100.0,8,1,0,0
74.59,35.86,0.0,0.03,90.13,100.0,8,1,0,0
67.03,25.06,0.0,0.03,94.87,100.0,10,1,0,1
67.03,31.64,0.04,0.03,92.06,100.0,11,1,0,1
69.16,23.9,0.0,0.03,92.36,100.0,11,1,0,1
74.05,48.06,0.0,0.04,85.32,100.0,11,1,0,1
69.16,44.17,0.0,0.03,84.28,100.0,11,1,0,1
69.16,44.78,0.0,0.03,85.57,100.0,12,1,0,1
55.84,13.64,0.0,0.02,96.81,100.0,13,1,0,2
55.84,17.24,0.0,0.03,95.55,100.0,13,1,0,2
57.2,17.32,0.0,0.03,95.71,100.0,14,1,0,2
61.13,30.6,0.0,0.04,92.86,100.0,14,1,0,2
61.13,20.45,0.0,0.03,94.83,100.0,14,1,0,2
61.13,26.42,0.0,0.03,92.98,100.0,14,1,0,2
61.13,16.42,0.0,0.03,95.93,100.0,15,1,0,2
66.74,18.25,0.0,0.03,95.31,100.0,15,1,0,2
68.98,28.08,0.0,0.03,93.04,100.0,15,1,0,2
71.28,28.62,0.0,0.03,93.13,100.0,15,1,0,2
73.15,25.81,0.0,0.03,93.66,100.0,16,1,0,2
85.0,27.79,0.0,0.04,95.05,100.0,16,1,0,2
105.05,41.9,0.0,0.05,94.1,100.0,16,1,0,2
114.01,39.06,0.0,0.05,94.98,100.0,16,1,0,2
114.01,35.64,0.0,0.05,94.7,100.0,17,1,0,2
105.05,41.15,0.0,0.05,94.06,100.0,17,1,0,1
73.62,13.25,1.69,0.03,98.42,99.97,18,1,0,1
39.82,12.74,0.54,0.02,94.33,99.99,18,1,0,1
39.82,18.43,0.0,0.02,90.75,100.0,18,1,0,1
37.94,4.18,1.94,0.02,99.37,99.86,18,1,0,1
39.71,5.47,0.18,0.02,99.2,100.0,19,1,0,1
39.71,0.86,1.58,0.02,99.97,99.91,19,1,0,1
39.71,3.74,0.79,0.02,99.56,99.98,19,1,0,1
39.71,5.69,0.18,0.02,99.14,100.0,19,1,0,1
39.71,1.19,1.66,0.02,99.95,99.9,20,1,0,1
37.33,5.62,0.54,0.02,99.07,99.99,20,1,0,2
37.3,2.88,1.22,0.02,99.7,99.95,20,1,0,2
32.72,2.02,6.98,0.02,99.81,97.8,20,1,0,2
4.75,5.26,0.0,0.0,67.02,100.0,22,1,0,1
4.72,5.15,0.0,0.0,66.94,100.0,22,1,0,1
4.64,4.97,0.0,0.0,68.24,100.0,23,1,0,1
4.64,4.39,0.0,0.0,73.22,100.0,23,1,0,0
4.64,4.25,0.0,0.0,73.52,100.0,23,1,0,0
4.61,4.43,0.0,0.0,71.8,100.0,23,1,0,0
4.61,5.04,0.0,0.0,67.73,100.0,0,1,0,0
4.64,4.57,0.0,0.0,71.02,100.0,0,1,0,0
4.64,4.57,0.0,0.0,71.25,100.0,0,1,0,0
4.61,4.68,0.0,0.0,70.41,100.0,0,1,0,0
4.61,4.79,0.0,0.0,69.34,100.0,1,1,0,0
4.61,4.64,0.0,0.0,70.48,100.0,1,1,0,0
4.61,4.93,0.0,0.0,68.3,100.0,1,1,0,0
4.61,4.64,0.0,0.0,71.01,100.0,1,1,0,0
4.64,4.79,0.0,0.0,69.58,100.0,2,1,0,0
4.64,4.75,0.0,0.0,69.65,100.0,2,1,0,0
4.64,4.9,0.0,0.0,68.76,100.0,2,1,0,0
4.64,4.9,0.0,0.0,68.52,100.0,2,1,0,0
4.64,4.93,0.0,0.0,68.85,100.0,3,1,0,0
4.61,5.0,0.0,0.0,68.34,100.0,3,1,0,0
4.68,4.86,0.0,0.0,68.82,100.0,3,1,0,0
4.61,4.86,0.0,0.0,68.82,100.0,3,1,0,0
4.61,5.15,0.0,0.0,67.25,100.0,4,1,0,0
4.64,4.72,0.0,0.0,69.87,100.0,4,1,0,0
4.64,4.72,0.0,0.0,70.1,100.0,4,1,0,0
4.61,4.54,0.0,0.0,71.48,100.0,4,1,0,0
4.64,4.64,0.0,0.0,70.48,100.0,5,1,0,0
4.61,4.5,0.0,0.0,71.56,100.0,5,1,0,0
4.61,4.5,0.0,0.0,71.79,100.0,5,1,0,0
4.61,4.39,0.0,0.0,72.42,100.0,5,1,0,0
4.61,4.54,0.0,0.0,71.25,100.0,6,1,0,0
4.61,4.64,0.0,0.0,70.48,100.0,6,1,0,0
4.61,4.82,0.0,0.0,69.35,100.0,6,1,0,0
4.61,4.68,0.0,0.0,69.86,100.0,6,1,0,0
4.64,4.57,0.0,0.0,71.25,100.0,7,1,0,0
4.64,4.61,0.0,0.0,70.17,100.0,7,1,0,0
5.36,4.79,0.0,0.0,74.56,100.0,7,1,0,0
7.06,4.9,0.0,0.0,82.15,100.0,7,1,0,0
7.81,4.68,0.0,0.0,85.78,100.0,8,1,0,0
83.23,51.73,0.0,0.04,84.93,100.0,8,1,0,0
83.23,39.17,0.0,0.05,94.35,100.0,10,1,0,2
96.66,59.04,0.0,0.05,87.13,100.0,11,1,0,1
104.8,60.19,0.0,0.05,88.28,100.0,11,1,0,1
113.11,33.66,0.0,0.05,95.24,100.0,13,1,0,2
115.42,41.72,0.0,0.05,94.28,100.0,14,1,0,2
115.42,38.45,0.0,0.05,94.87,100.0,15,1,0,2
115.49,41.15,0.0,0.05,94.2,100.0,15,1,0,2
115.42,39.06,0.0,0.05,93.38,100.0,15,1,0,2
97.63,28.73,0.0,0.04,95.09,100.0,16,1,0,2
51.59,7.09,2.12,0.03,99.42,99.95,18,1,0,1
46.4,16.24,0.54,0.02,92.56,99.99,18,1,0,1
51.59,33.34,0.0,0.02,83.99,100.0,18,1,0,1
51.59,15.26,0.0,0.02,94.99,100.0,18,1,0,1
52.74,28.55,0.0,0.03,92.03,100.0,19,1,0,1
53.39,18.0,0.0,0.02,94.76,100.0,19,1,0,1
53.39,16.31,0.0,0.02,95.54,100.0,19,1,0,1
53.39,38.88,0.0,0.03,87.37,100.0,19,1,0,1
64.58,17.93,0.0,0.02,94.37,100.0,20,1,0,1
46.62,11.99,0.04,0.02,96.85,100.0,20,1,0,2
36.22,3.1,2.77,0.02,99.64,99.71,21,1,0,2
4.82,6.37,0.0,0.0,60.34,100.0,22,1,0,1
4.79,6.34,0.0,0.0,59.96,100.0,22,1,0,1
4.75,6.01,0.0,0.0,62.33,100.0,23,1,0,1
4.64,5.18,0.0,0.0,66.72,100.0,23,1,0,0
4.64,4.79,0.0,0.0,69.58,100.0,23,1,0,0
4.64,5.04,0.0,0.0,67.49,100.0,23,1,0,0
4.64,4.5,0.0,0.0,67.71,100.0,0,1,0,0
4.68,5.15,0.0,0.0,67.57,100.0,0,1,0,0
4.68,5.22,0.0,0.0,66.75,100.0,0,1,0,0
4.68,5.54,0.0,0.0,64.53,100.0,0,1,0,0
4.68,5.58,0.0,0.0,64.58,100.0,1,1,0,0
4.68,5.36,0.0,0.0,65.77,100.0,1,1,0,0
4.68,5.33,0.0,0.0,65.98,100.0,1,1,0,0
4.64,4.86,0.0,0.0,68.82,100.0,1,1,0,0
4.64,4.68,0.0,0.0,70.18,100.0,2,1,0,0
4.64,5.0,0.0,0.0,68.02,100.0,2,1,0,0
4.64,4.97,0.0,0.0,68.24,100.0,2,1,0,0
4.64,5.22,0.0,0.0,66.75,100.0,2,1,0,0
4.64,5.04,0.0,0.0,67.73,100.0,3,1,0,0
4.64,5.08,0.0,0.0,67.2,100.0,3,1,0,0
4.64,5.04,0.0,0.0,68.05,100.0,3,1,0,0
4.61,5.0,0.0,0.0,67.79,100.0,3,1,0,0
4.61,5.0,0.0,0.0,68.65,100.0,4,1,0,0
4.61,4.68,0.0,0.0,70.18,100.0,4,1,0,0
4.61,4.72,0.0,0.0,69.87,100.0,4,1,0,0
4.61,4.86,0.0,0.0,68.82,100.0,4,1,0,0
4.61,4.82,0.0,0.0,69.12,100.0,5,1,0,0
4.61,4.97,0.0,0.0,68.55,100.0,5,1,0,0
4.64,4.93,0.0,0.0,68.54,100.0,5,1,0,0
4.64,4.79,0.0,0.0,69.03,100.0,5,1,0,0
4.64,4.93,0.0,0.0,68.54,100.0,6,1,0,0
4.61,4.79,0.0,0.0,69.34,100.0,6,1,0,0
4.61,4.82,0.0,0.0,69.35,100.0,6,1,0,0
4.61,4.72,0.0,0.0,69.87,100.0,6,1,0,0
4.61,4.9,0.0,0.0,68.52,100.0,7,1,0,0
4.61,5.08,0.0,0.0,66.88,100.0,7,1,0,0
5.33,4.97,0.0,0.0,73.14,100.0,7,1,0,0
6.98,5.18,0.0,0.0,80.3,100.0,7,1,0,0
7.02,4.97,0.0,0.0,81.62,100.0,8,1,0,0
72.14,45.22,0.0,0.03,84.73,100.0,8,1,0,0
94.82,39.02,0.0,0.05,94.67,100.0,9,1,0,2
97.88,43.81,0.0,0.05,93.38,100.0,11,1,0,1
77.08,42.19,0.0,0.04,91.83,100.0,12,1,0,1
69.73,36.43,0.0,0.05,95.26,100.0,13,1,0,2
72.58,19.37,0.0,0.03,96.35,100.0,14,1,0,2
81.72,29.77,0.0,0.03,92.52,100.0,14,1,0,2
81.72,36.65,0.0,0.04,92.16,100.0,14,1,0,2
87.05,28.76,0.0,0.04,94.33,100.0,15,1,0,2
92.95,36.9,0.0,0.04,93.45,100.0,15,1,0,2
92.95,38.09,0.0,0.04,92.53,100.0,15,1,0,2
96.84,39.02,0.0,0.05,92.97,100.0,16,1,0,2
92.95,27.79,0.0,0.03,92.91,100.0,17,1,0,2
75.06,51.98,0.0,0.05,91.47,100.0,17,1,0,1
68.54,13.5,3.56,0.03,98.42,99.89,18,1,0,1
59.8,18.9,0.61,0.02,91.68,99.99,18,1,0,1
65.05,45.68,0.0,0.03,83.21,100.0,18,1,0,1
65.05,24.62,0.0,0.03,92.47,100.0,18,1,0,1
65.05,27.65,0.0,0.03,92.03,100.0,19,1,0,1
59.8,27.72,0.0,0.03,92.4,100.0,19,1,0,1
57.28,20.92,0.0,0.03,93.93,100.0,19,1,0,1
55.62,19.66,0.0,0.03,94.28,100.0,19,1,0,1
55.15,16.34,0.0,0.02,95.36,100.0,20,1,0,1
51.77,4.18,0.04,0.02,99.56,100.0,20,1,0,2
44.17,11.52,0.07,0.03,97.89,100.0,20,1,0,2
38.05,1.4,4.43,0.02,99.93,99.33,20,1,0,2
4.14,4.32,0.0,0.0,68.84,100.0,22,1,0,1
4.1,4.21,0.0,0.0,70.12,100.0,22,1,0,1
4.07,4.07,0.0,0.0,70.71,100.0,23,1,0,1
4.07,3.2,0.0,0.0,78.31,100.0,23,1,0,0
4.07,3.85,0.0,0.0,72.65,100.0,23,1,0,0
4.07,4.39,0.0,0.0,68.61,100.0,23,1,0,0
4.14,3.28,0.0,0.0,73.92,100.0,0,1,1,0
4.14,4.5,0.0,0.0,67.71,100.0,0,1,1,0
4.14,4.82,0.0,0.0,65.16,100.0,0,1,1,0
4.14,4.68,0.0,0.0,65.9,100.0,0,1,1,0
4.14,4.93,0.0,0.0,64.31,100.0,1,1,1,0
4.14,4.64,0.0,0.0,66.58,100.0,1,1,1,0
4.14,4.57,0.0,0.0,67.49,100.0,1,1,1,0
4.18,5.0,0.0,0.0,63.78,100.0,1,1,1,0
4.18,5.36,0.0,0.0,61.5,100.0,2,1,1,0
4.18,5.47,0.0,0.0,60.72,100.0,2,1,1,0
4.18,5.4,0.0,0.0,61.21,100.0,2,1,1,0
4.18,5.58,0.0,0.0,60.86,100.0,2,1,1,0
4.18,5.62,0.0,0.0,59.95,100.0,3,1,1,0
4.18,5.54,0.0,0.0,59.86,100.0,3,1,1,0
4.18,5.54,0.0,0.0,60.23,100.0,3,1,1,0
4.18,5.72,0.0,0.0,59.0,100.0,3,1,1,0
4.18,5.76,0.0,0.0,59.64,100.0,4,1,1,0
4.21,5.8,0.0,0.0,58.74,100.0,4,1,1,0
4.21,5.58,0.0,0.0,59.95,100.0,4,1,1,0
4.21,5.83,0.0,0.0,58.54,100.0,4,1,1,0
4.18,5.83,0.0,0.0,58.27,100.0,5,1,1,0
4.18,5.51,0.0,0.0,61.08,100.0,5,1,1,0
4.18,5.29,0.0,0.0,62.0,100.0,5,1,1,0
4.14,5.26,0.0,0.0,61.85,100.0,5,1,1,0
4.14,5.4,0.0,0.0,60.84,100.0,6,1,1,0
4.14,5.47,0.0,0.0,60.35,100.0,6,1,1,0
4.14,5.29,0.0,0.0,62.27,100.0,6,1,1,0
4.14,5.4,0.0,0.0,61.49,100.0,6,1,1,0
4.14,5.51,0.0,0.0,60.07,100.0,7,1,1,0
4.1,5.22,0.0,0.0,61.49,100.0,7,1,1,0
4.1,5.29,0.0,0.0,61.26,100.0,7,1,1,0
4.1,5.26,0.0,0.0,61.48,100.0,7,1,1,0
4.1,5.29,0.0,0.0,62.0,100.0,8,1,1,0
4.07,5.11,0.0,0.0,62.3,100.0,8,1,1,0
4.07,5.11,0.0,0.0,62.3,100.0,8,1,1,0
4.07,5.08,0.14,0.0,62.53,99.94,8,1,1,0
4.07,0.0,20.7,0.0,100.0,20.61,9,1,1,0
4.25,0.0,20.99,0.0,100.0,18.72,9,1,1,0
4.25,0.0,23.33,0.0,100.0,17.92,10,1,1,0
4.0,0.0,23.33,0.0,100.0,18.04,10,1,1,0
4.0,0.0,19.73,0.0,100.0,19.01,10,1,1,0
3.82,0.0,17.93,0.0,100.0,18.95,11,1,1,0
3.71,0.0,9.9,0.0,100.0,37.46,11,1,1,0
3.71,0.0,7.06,0.0,100.0,44.31,11,1,1,0
3.71,0.0,7.63,0.0,100.0,43.73,11,1,1,0
3.71,0.0,7.42,0.0,100.0,46.43,12,1,1,0
3.71,0.0,14.08,0.0,100.0,24.32,12,1,1,0
3.89,0.0,24.91,0.0,100.0,16.82,12,1,1,0
3.64,0.0,17.39,0.0,100.0,20.06,12,1,1,0
3.64,0.0,22.54,0.0,100.0,17.6,13,1,1,0
3.64,0.0,19.69,0.0,100.0,18.18,13,1,1,0
3.64,0.0,18.14,0.0,100.0,19.1,13,1,1,0
3.64,0.0,25.16,0.0,100.0,15.82,13,1,1,0
3.74,0.0,17.75,0.0,100.0,18.71,14,1,1,0
3.74,0.0,20.92,0.0,100.0,17.6,14,1,1,0
3.74,0.0,21.67,0.0,100.0,17.36,14,1,1,0
3.74,0.0,17.5,0.0,100.0,19.4,14,1,1,0
3.64,0.0,23.0,0.0,100.0,17.13,15,1,1,0
3.64,0.0,18.9,0.0,100.0,18.91,15,1,1,0
3.64,0.0,17.42,0.0,100.0,19.26,15,1,1,0
3.53,0.0,24.3,0.0,100.0,16.95,15,1,1,0
3.53,0.0,18.43,0.0,100.0,18.81,16,1,1,0
3.53,0.0,17.6,0.0,100.0,18.86,16,1,1,0
3.42,0.0,24.73,0.0,100.0,16.08,16,1,1,0
3.42,0.0,18.18,0.0,100.0,18.49,16,1,1,0
3.42,0.0,17.71,0.0,100.0,18.96,17,1,1,0
3.42,0.0,24.91,0.0,100.0,16.24,17,1,1,0
3.42,0.0,18.0,0.0,100.0,18.46,17,1,1,0
3.46,0.0,17.82,0.0,100.0,18.64,17,1,1,0
3.38,0.0,24.62,0.0,100.0,16.15,18,1,1,0
3.46,0.0,7.96,0.0,100.0,39.86,18,1,1,0
3.53,0.0,6.23,0.0,100.0,46.14,18,1,1,0
3.46,0.0,20.88,0.0,100.0,18.13,18,1,1,0
3.53,0.0,18.94,0.0,100.0,18.32,19,1,1,0
3.53,0.0,17.86,0.0,100.0,18.81,19,1,1,0
3.49,0.0,24.19,0.0,100.0,16.43,19,1,1,0
3.49,0.0,18.65,0.0,100.0,18.39,19,1,1,0
3.56,0.0,17.82,0.0,100.0,18.85,20,1,1,0
3.53,0.0,24.16,0.0,100.0,16.61,20,1,1,0
3.56,0.0,18.79,0.0,100.0,18.62,20,1,1,0
3.6,0.0,17.68,0.0,100.0,19.58,20,1,1,0
3.56,0.0,24.16,0.0,100.0,16.73,21,1,1,0
3.6,0.0,18.97,0.0,100.0,18.64,21,1,1,0
3.6,0.0,17.6,0.0,100.0,19.45,21,1,1,0
3.56,0.0,24.41,0.0,100.0,16.56,21,1,1,0
3.56,0.0,18.18,0.0,100.0,19.22,22,1,1,0
3.31,4.25,0.0,0.0,66.85,100.0,22,1,1,0
3.31,3.35,0.0,0.0,69.52,100.0,22,1,1,0
3.24,3.2,0.0,0.0,71.15,100.0,23,1,1,0
3.24,3.46,0.0,0.0,74.12,100.0,23,1,1,0
3.28,2.56,0.0,0.0,77.11,100.0,23,1,1,0
3.28,2.92,0.0,0.0,74.99,100.0,23,1,1,0
3.28,3.85,0.0,0.0,64.85,100.0,0,1,1,0
3.31,2.74,0.0,0.0,75.24,100.0,0,1,1,0
3.28,3.17,0.0,0.0,74.02,100.0,0,1,1,0
3.49,3.6,0.0,0.0,71.1,100.0,0,1,1,0
3.49,3.02,0.0,0.0,72.73,100.0,1,1,1,0
3.49,3.6,0.0,0.0,70.31,100.0,1,1,1,0
3.49,3.6,0.0,0.0,69.61,100.0,1,1,1,0
3.49,3.2,0.0,0.0,71.9,100.0,1,1,1,0
